question,answer
"Our sales pipeline has 200 leads stuck in the 'Proposal Sent' stage for over 30 days. What should we do?","Segment the 200 stale leads by deal size and last-touch date. For high-value deals (top 20%), assign a senior rep to make a personal follow-up call within 48 hours offering a time-limited incentive such as a discount or extended trial. For mid-tier leads, send a personalized email sequence that addresses common objections and includes a customer success story relevant to their industry. For low-value leads older than 45 days, move them to a nurture campaign and free up rep capacity. Set up an automated alert in your CRM so that any deal sitting in 'Proposal Sent' for more than 14 days triggers a follow-up task."
"How can I improve our lead scoring model? We're getting too many false positives.","Audit your current scoring criteria against closed-won and closed-lost data from the past 6 months. Identify which attributes (job title, company size, engagement signals) actually correlate with conversion. Remove or down-weight vanity signals like single page visits. Add behavioral scores for high-intent actions: pricing page visits, demo requests, and return visits within 7 days. Implement a negative scoring layer that deducts points for disqualifying traits such as student email domains or companies outside your ICP. Re-calibrate thresholds so that only the top 15-20% of leads are marked as MQLs, then validate with a 2-week A/B test comparing old vs. new scores."
"We're losing deals to a competitor who undercuts us on price. How should we adjust our CRM strategy?","First, add a 'Competitive Deal' tag in your CRM and track win/loss reasons against this competitor specifically. Analyze which segments you lose most often — it may be SMB where price sensitivity is highest. For those segments, create a value-based battle card that reps can attach to opportunities, highlighting ROI, support quality, and total cost of ownership over 3 years. Build an automated workflow that triggers when a rep marks a competitor on a deal: it should send the rep the battle card, schedule a manager review, and optionally offer a pre-approved discount tier. For enterprise deals, focus on multi-threading — ensure at least 3 stakeholder contacts are logged per opportunity so the deal doesn't hinge on a single price-sensitive buyer."
"Our customer churn rate increased from 5% to 8% last quarter. What CRM actions should we take?","Create a health score in your CRM that combines product usage data (login frequency, feature adoption), support ticket volume, NPS responses, and contract renewal date proximity. Flag any account whose health score drops below a threshold as 'At Risk' and auto-assign it to a Customer Success Manager with a 48-hour SLA for outreach. Run a cohort analysis on the churned accounts to find common patterns — were they onboarded poorly, did they lack a champion, or did they hit a specific product limitation? Based on findings, build targeted playbooks: for low-adoption accounts, schedule a re-onboarding session; for accounts with unresolved tickets, escalate and offer a goodwill credit. Set up a quarterly business review cadence for your top 20% of accounts by ARR."
"How do I set up an effective automated email nurture sequence for cold leads in our CRM?","Design a 5-touch sequence spread over 3 weeks. Email 1 (Day 0): a short, personalized introduction that references the lead's industry and a specific pain point — no hard sell. Email 2 (Day 3): share a relevant case study or data point that builds credibility. Email 3 (Day 7): offer a low-commitment resource like a checklist or benchmark report in exchange for engagement. Email 4 (Day 14): present a clear value proposition with a CTA to book a 15-minute call. Email 5 (Day 21): a breakup email that acknowledges their busy schedule and leaves the door open. Configure your CRM to exit leads from the sequence if they reply, book a meeting, or visit the pricing page. Track open rates, click rates, and reply rates per step, and A/B test subject lines on the first email."
"We have 5,000 contacts but no segmentation. Where do we start?","Begin with three foundational segments: by lifecycle stage (Lead, MQL, SQL, Customer, Churned), by company size or ICP fit (Enterprise, Mid-Market, SMB, Non-ICP), and by engagement recency (Active in last 30 days, Dormant 30-90 days, Cold 90+ days). Use your CRM's bulk update or import feature to tag existing contacts. Then layer in industry vertical as a fourth dimension if you serve multiple verticals. Once segments are in place, create filtered views and dashboards for each so reps see only their relevant pipeline. Prioritize cleaning data first — deduplicate contacts, standardize company names, and fill in missing fields like job title and phone number before segmenting."
"Our sales reps aren't logging activities in the CRM. How do we fix this?","Address both motivation and friction. On the friction side, enable automatic activity capture: sync email and calendar so calls, meetings, and emails log without manual entry. Use a mobile CRM app so field reps can log notes via voice. On the motivation side, tie CRM data completeness to pipeline reviews — if a deal doesn't have recent activity logged, it gets flagged in the weekly forecast meeting. Create a simple leaderboard that shows activity logging rates by rep. Make it clear that CRM data directly influences territory assignments and lead routing: reps who log consistently get better leads. Finally, simplify your CRM fields — remove any that aren't actively used in reports or workflows. Fewer required fields means less resistance."
"How should we structure our CRM deal stages for a B2B SaaS sales process?","Use 6-7 stages that mirror buyer actions, not seller actions. Stage 1 — Discovery: initial qualifying call completed, BANT confirmed. Stage 2 — Needs Analysis: detailed requirements gathered, stakeholders identified. Stage 3 — Solution Presentation: demo delivered, technical fit confirmed. Stage 4 — Proposal / Pricing: formal proposal sent, budget discussed. Stage 5 — Negotiation: terms under review, legal or procurement involved. Stage 6 — Closed Won or Closed Lost. Assign exit criteria to each stage so reps can't advance a deal without completing required fields (e.g., 'Decision Maker Identified' must be checked to move past Discovery). Add a 'Commit' probability to each stage and use it for weighted pipeline forecasting."
"What KPIs should I track on my CRM dashboard for a 10-person sales team?","Build three dashboard layers. Layer 1 — Activity Metrics: calls made, emails sent, meetings booked per rep per week, with targets (e.g., 50 calls/week). Layer 2 — Pipeline Metrics: total pipeline value, pipeline coverage ratio (aim for 3-4x quota), average deal size, number of deals per stage, and stage-to-stage conversion rates. Layer 3 — Outcome Metrics: monthly bookings vs. quota, win rate, average sales cycle length, and revenue by lead source. Add a trend line for each KPI so you spot regressions early. Include a 'Deals at Risk' widget that surfaces opportunities with no activity in 14+ days or past their expected close date. Review the dashboard in a 30-minute weekly team meeting."
"How do we integrate our CRM with our marketing automation platform effectively?","Map the full lead lifecycle across both systems. Marketing automation owns the lead until it hits MQL threshold, then it syncs to the CRM as a new lead or contact. Define a clear handoff: the CRM should receive lead source, campaign attribution, engagement score, and key form-fill data. Set up bi-directional sync so that when a sales rep disqualifies a lead in the CRM, it updates the marketing platform and moves the contact to a re-nurture list. Align on field naming conventions — 'Lead Status' in the CRM should map to a matching field in the marketing tool. Create a shared SLA: marketing commits to a lead volume target, sales commits to a follow-up time (e.g., contact within 4 hours). Build a closed-loop report that shows which campaigns generate revenue, not just leads."
